iter	RMSE
0	214397.6
1	202490.1043
2	191698.034
3	182462.3838
4	174343.9659
5	167443.1294
6	161227.6103
7	156004.9498
8	151188.3174
9	147099.0814
10	143622.9817
11	140428.8618
12	137732.4071
13	135455.5453
14	133459.9904
15	131645.4198
16	130062.6788
17	128602.2863
18	127381.3337
19	126295.5005
20	125240.3227
21	124295.4703
22	123514.1363
23	122727.3567
24	122137.1792
25	121467.2021
26	120903.8579
27	120380.7359
28	119916.0124
29	119540.5143
30	119128.2836
31	118708.7201
32	118384.683
33	118098.8863
34	117855.8364
35	117534.5265
36	117260.9332
37	116978.9688
38	116796.2217
39	116573.6811
40	116329.4356
41	116087.4855
42	115924.3244
43	115717.6633
44	115563.9362
45	115422.0323
46	115274.5217
47	114989.4469
48	114881.0804
49	114669.7632
50	114452.2394
51	114303.4631
52	114161.1642
53	114031.8864
54	113856.1051
55	113727.5481
56	113561.1432
57	113420.061
58	113291.9071
59	113143.884
60	113051.9466
61	112913.3828
62	112794.9655
63	112705.7032
64	112593.7757
65	112494.9985
66	112383.1651
67	112329.9002
68	112317.8697
69	112232.3161
70	112144.7467
71	112011.7737
72	111900.6252
73	111836.8859
74	111748.3633
75	111596.2585
76	111486.4143
77	111358.2839
78	111285.2258
79	111159.1161
80	111085.7804
81	110965.8186
82	110904.6949
83	110767.9666
84	110700.0666
85	110633.0172
86	110583.2208
87	110516.6132
88	110414.6813
89	110324.7721
90	110253.5601
91	110196.9183
92	110119.3614
93	110009.5067
94	109914.7565
95	109808.3603
96	109739.1082
97	109674.6796
98	109571.485
99	109472.8488
100	109401.5757
101	109337.0178
102	109267.4003
103	109182.1073
104	109099.1063
105	109017.9906
106	108930.4987
107	108847.5093
108	108804.2676
109	108736.0097
110	108669.511
111	108597.8157
112	108524.1083
113	108445.1396
114	108352.9436
115	108294.9043
116	108200.7588
117	108109.846
118	108036.0165
119	107962.6401
120	107900.4557
121	107824.6494
122	107742.9377
123	107681.6572
124	107589.716
125	107521.5116
126	107402.597
127	107337.0991
128	107262.9399
129	107193.4484
130	107107.312
131	107042.6074
132	106997.6509
133	106917.5858
134	106852.4421
135	106794.4274
136	106720.7699
137	106659.1481
138	106593.0312
139	106521.9471
140	106437.0802
141	106367.0736
142	106306.9992
143	106245.1369
144	106182.2778
145	106121.1003
146	106071.1151
147	105980.3501
148	105913.312
149	105813.3339
150	105750.3444
151	105695.2043
152	105632.4101
153	105588.5025
154	105534.5698
155	105477.8929
156	105412.3985
157	105331.5846
158	105250.8529
159	105193.3941
160	105141.709
161	105092.9314
162	105021.207
163	104930.8428
164	104891.7252
165	104800.1712
166	104744.3707
167	104678.4481
168	104623.5984
169	104573.4209
170	104497.2486
171	104451.8672
172	104392.71
173	104334.1995
174	104284.6209
175	104224.9599
176	104184.3028
177	104120.0091
178	104070.5425
179	104022.1194
180	103968.0567
181	103904.6292
182	103853.5688
183	103812.1826
184	103758.3129
185	103702.7663
186	103647.4233
187	103582.3405
188	103532.9403
189	103495.1452
190	103460.9423
191	103409.3876
192	103366.6662
193	103308.991
194	103269.2316
195	103212.1939
196	103159.3939
197	103125.1652
198	103058.4986
199	103005.0057
200	102954.6711
201	102900.3097
202	102859.0607
203	102793.4709
204	102738.3198
205	102680.6583
206	102645.4776
207	102609.3642
208	102567.2416
209	102522.3839
210	102472.9079
211	102441.5111
212	102399.198
213	102357.7597
214	102299.2017
215	102246.9944
216	102203.6025
217	102152.7194
218	102098.0882
219	102061.4914
220	102007.0277
221	101958.6346
222	101874.4371
223	101836.953
224	101794.9071
225	101756.6722
226	101714.1655
227	101637.5458
228	101592.8841
229	101554.8934
230	101510.8907
231	101467.3457
232	101418.3267
233	101385.1598
234	101355.0987
235	101314.6201
236	101275.3931
237	101193.802
238	101142.8195
239	101096.8638
240	101046.954
241	100988.2786
242	100946.9649
243	100912.3896
244	100854.8921
245	100786.3516
246	100735.0436
247	100691.7822
248	100659.1377
249	100633.7158
250	100594.655
251	100548.1525
252	100520.7722
253	100493.4476
254	100464.7575
255	100418.4445
256	100380.5389
257	100351.9188
258	100308.9586
259	100268.4856
260	100223.2075
261	100184.0443
262	100123.556
263	100071.257
264	100023.8037
265	99962.31806
266	99913.89253
267	99876.79614
268	99845.58904
269	99808.16746
270	99767.37464
271	99737.80286
272	99692.88707
273	99635.65394
274	99602.14513
275	99557.40641
276	99521.24901
277	99456.63501
278	99414.85446
279	99373.03032
280	99326.4729
281	99290.91269
282	99252.08962
283	99226.63079
284	99194.13819
285	99157.86588
286	99122.47352
287	99056.21558
288	99013.65038
289	98967.45902
290	98919.37093
291	98877.69101
292	98834.76344
293	98801.68694
294	98762.49295
295	98707.57683
296	98652.47379
297	98605.12564
298	98581.03567
299	98552.88143
