iter	Passed	Remaining
0	207	62145
1	277	41311
2	334	33126
3	392	29033
4	451	26664
5	513	25175
6	596	24978
7	669	24419
8	738	23882
9	801	23257
10	880	23131
11	953	22876
12	1058	23364
13	1136	23215
14	1209	22978
15	1281	22744
16	1351	22499
17	1417	22209
18	1482	21918
19	1545	21632
20	1611	21409
21	1675	21174
22	1744	21003
23	1818	20915
24	1890	20791
25	1951	20563
26	2013	20354
27	2076	20175
28	2139	19996
29	2211	19900
30	2274	19739
31	2351	19694
32	2423	19609
33	2494	19512
34	2562	19403
35	2629	19283
36	2711	19274
37	2778	19158
38	2853	19099
39	2921	18991
40	2994	18918
41	3063	18821
42	3127	18694
43	3208	18667
44	3297	18684
45	3383	18684
46	3471	18689
47	3555	18663
48	3630	18598
49	3714	18571
50	3795	18528
51	3874	18479
52	3944	18380
53	4020	18314
54	4108	18303
55	4188	18248
56	4261	18166
57	4331	18074
58	4400	17974
59	4542	18171
60	4613	18077
61	4683	17979
62	4751	17874
63	4847	17873
64	4930	17824
65	5000	17729
66	5077	17658
67	5159	17601
68	5174	17324
69	5242	17224
70	5311	17132
71	5379	17034
72	5449	16945
73	5512	16835
74	5580	16741
75	5652	16658
76	5728	16589
77	5796	16496
78	5871	16426
79	5947	16355
80	6013	16257
81	6075	16152
82	6139	16052
83	6205	15957
84	6273	15867
85	6336	15768
86	6402	15674
87	6469	15586
88	6539	15503
89	6608	15420
90	6683	15349
91	6760	15283
92	6827	15195
93	6894	15109
94	6962	15024
95	7037	14955
96	7112	14885
97	7190	14820
98	7258	14736
99	7328	14657
100	7401	14582
101	7467	14494
102	7528	14398
103	7590	14305
104	7654	14214
105	7711	14114
106	7768	14013
107	7840	13938
108	7903	13849
109	7966	13759
110	8031	13675
111	8093	13584
112	8157	13498
113	8224	13419
114	8292	13340
115	8371	13279
116	8437	13197
117	8505	13117
118	8569	13034
119	8638	12957
120	8707	12881
121	8782	12814
122	8850	12736
123	8917	12657
124	8989	12585
125	9055	12505
126	9128	12434
127	9210	12377
128	9297	12324
129	9367	12250
130	9443	12182
131	9512	12106
132	9577	12025
133	9652	11958
134	9723	11883
135	9792	11808
136	9860	11732
137	9944	11673
138	10034	11623
139	10128	11574
140	10203	11506
141	10280	11439
142	10354	11367
143	10440	11310
144	10526	11251
145	10598	11179
146	10675	11111
147	10741	11031
148	10807	10952
149	10877	10877
150	10944	10799
151	11012	10722
152	11079	10645
153	11147	10568
154	11223	10499
155	11292	10423
156	11357	10345
157	11431	10274
158	11523	10218
159	11592	10143
160	11659	10065
161	11721	9985
162	11783	9904
163	11849	9826
164	11915	9749
165	11985	9674
166	12056	9601
167	12121	9523
168	12180	9441
169	12247	9366
170	12310	9287
171	12379	9212
172	12441	9133
173	12505	9055
174	12571	8979
175	12639	8905
176	12704	8828
177	12765	8749
178	12829	8672
179	12895	8596
180	12960	8521
181	13097	8491
182	13168	8419
183	13238	8346
184	13304	8270
185	13367	8193
186	13438	8120
187	13512	8050
188	13574	7972
189	13633	7893
190	13707	7822
191	13784	7753
192	13855	7681
193	13932	7612
194	14014	7546
195	14081	7471
196	14153	7400
197	14229	7330
198	14293	7254
199	14364	7182
200	14425	7105
201	14489	7029
202	14560	6957
203	14629	6884
204	14692	6808
205	14762	6736
206	14826	6661
207	14892	6586
208	14961	6514
209	15025	6439
210	15086	6363
211	15143	6286
212	15204	6210
213	15265	6134
214	15330	6060
215	15394	5986
216	15449	5909
217	15506	5832
218	15564	5756
219	15619	5679
220	15689	5608
221	15763	5538
222	15840	5469
223	15901	5395
224	15960	5320
225	16032	5249
226	16087	5173
227	16151	5100
228	16219	5028
229	16278	4954
230	16341	4881
231	16402	4807
232	16462	4733
233	16530	4662
234	16608	4593
235	16662	4518
236	16718	4444
237	16771	4369
238	16839	4297
239	16917	4229
240	16984	4158
241	17053	4087
242	17115	4014
243	17180	3943
244	17243	3870
245	17295	3796
246	17348	3722
247	17410	3650
248	17471	3578
249	17534	3506
250	17589	3433
251	17652	3362
252	17718	3291
253	17777	3219
254	17832	3146
255	17887	3074
256	17940	3001
257	17999	2930
258	18062	2859
259	18130	2789
260	18192	2718
261	18246	2646
262	18298	2574
263	18357	2503
264	18415	2432
265	18467	2360
266	18527	2289
267	18592	2219
268	18648	2149
269	18700	2077
270	18757	2007
271	18813	1936
272	18864	1865
273	18926	1795
274	18986	1726
275	19035	1655
276	19087	1584
277	19133	1514
278	19180	1443
279	19231	1373
280	19281	1303
281	19337	1234
282	19386	1164
283	19437	1095
284	19509	1026
285	19575	958
286	19626	889
287	19680	820
288	19727	750
289	19779	682
290	19830	613
291	19878	544
292	19925	476
293	19974	407
294	20024	339
295	20072	271
296	20121	203
297	20169	135
298	20219	67
299	20278	0
